Geo Point;Geo Shape;gml_id;id;nom;code_insee;nom_com;longitude;latitude
47.674009951801274, -2.959552835497253;"{""coordinates"": [-2.959552835497253, 47.674009951801274], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000117;D562000117;Bibliothèque;56176;Pluneret;-2.9593215;47.67392
47.929551129883215, -1.9417772045020356;"{""coordinates"": [-1.941777204502036, 47.929551129883215], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D3512932;D3512932;La Chapelle-Bouëxic/Centre;35057;La Chapelle-Bouëxic;-1.9417;47.9297
48.114570129903534, -1.5233982026861173;"{""coordinates"": [-1.523398202686117, 48.114570129903534], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35710;D35710;Noyal-sur-Vilaine/Centre;35207;Noyal-sur-Vilaine;-1.5233023;48.114243
48.313202572563235, -1.3265295799413652;"{""coordinates"": [-1.326529579941365, 48.313202572563235], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D352746;D352746;LA-CHAPELLE-ST-AUBERT La Chaîne;35063;La Chapelle-Saint-Aubert;-1.326511;48.313175
48.25077762909333, -1.8262535154635733;"{""coordinates"": [-1.826253515463573, 48.25077762909333], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35LGTCE2;D35LGTCE2;Langouët /Centre;35146;Langouet;-1.82624;48.2508
48.61858670487976, -2.2557140518232455;"{""coordinates"": [-2.255714051823245, 48.61858670487976], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501087;D221501087;ST CAST la Bassiere;22282;Saint-Cast-le-Guildo;-2.2558076;48.618553
48.75029527125817, -2.9865753768240215;"{""coordinates"": [-2.986575376824022, 48.75029527125817], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500886;D221500886;La Poste;22214;Plouézec;-2.986692;48.750305
48.591652690179885, -3.250209015890108;"{""coordinates"": [-3.250209015890108, 48.591652690179885], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500628;D221500628;Squibernevez;22164;Pédernec;-3.250125;48.59165
48.58065773198352, -2.144685516034137;"{""coordinates"": [-2.144685516034137, 48.58065773198352], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500534;D221500534;PLOUBALAY Gare;22209;Beaussais-sur-Mer;-2.1449084;48.580658
48.488376430660196, -2.010215132064445;"{""coordinates"": [-2.010215132064445, 48.488376430660196], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501211;D221501211;ST SAMSON Lot Beauséjour;22327;Saint-Samson-sur-Rance;-2.0101404;48.488377
